12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,12
12,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,12
12,-1,-1,12,12,12,12,12,-1,12,12,12,12,12,12,12
12,-1,-1,-1,65,-1,-1,-1,-1,-1,-1,65,-1,-1,-1,-1
12,-1,-1,-1,67,-1,-1,-1,-1,-1,-1,67,-1,-1,-1,-1
12,12,12,12,-1,-1,12,12,12,12,-1,-1,12,12,-1,-1
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14
-1,-1,-1,-1,-1,-1,-1,12,12,12,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,12,12,12,-1,-1,-1,-1,-1,-1
